,raw,processed,label
0,"Ini adalah cara kami untuk liburan adventure dimasa PPKM, yg sabar ya nak.. 
.
#PPKM 
#PPKMLevel4LawanCovid 
#COVID19 
#VarianteDelta https://t.co/Mpfl1ucW6O",cara untuk liburan adventure dimasa sabar iya,1
1,"@Persuasi_id Poin ke 20, ada kata2 pembatasan berakhir apabila tercapai 5 parameter dalam 23minggu berturut, artinya akhir tahun baru ppkm berakhir https://t.co/k55VLp59j2",poin kata pembatasan berakhir tercapai parameter minggu berturut artinya akhir tahun baru berakhir,1
2,"#TetapWaspadaCovidMasihAda

Penerapan PROKES 5 M
secara ketat adalah kunci sukses mencegah penularan virus covid
Membatasi Mobilisasi &amp; Menghindari Kerumunan adalah
2 hal di 5 M yg didapat dlm pelaksanaan PPKM darurat.

Tentu semua ini adalah cara tuk segera keluar dari PAMDEMI https://t.co/8QdnOrYukl",penerapan prokes secara ketat kunci sukses mencegah penularan virus covid membatasi mobilisasi amp menghindari kerumunan didapat pelaksanaan darurat cara untuk keluar pamdemi,2
3,@febby_wu Tunggu ya masih otw ...jalan pintas dijaga pak pol... Masih ppkm ... https://t.co/fOXRaqhgMT,tunggu iya menuju jalan pintas dijaga pak pol,1
4,"[cm] plisssss ppkm jangan lanjutin dong, aku pengen magang offline huhu",plis lanjutkan magang oflen huhu,0
5,"@plokplokslewb Mau bilang ayo kok ppkm, sini aja rumah. Ayo go food",bilang ayo rumah ayo go food,1
6,Libur dulu ya latihan nya. Ada PPKM Darurat,libur iya latihan nya darurat,0
7,Jika memperhatikan UU karantina maka menurut saya kebijakan PPKM adalah kebijakan licik.Yg jelas2 menyengsarakan rakyat demi proyek2 ambisius mereka dgn segala kemungkinan pat gulipatnya lancar tak terhambat.Kalau betul begitu berarti kalian pemimpin BIADAB.,memperhatikan uu karantina menurut kebijakan kebijakan licik jelas menyengsarakan rakyat proyek ambisius kemungkinan pat gulipatnya lancar terhambat betul berarti pemimpin biadab,0
8,@clysiaca @AREAJULID PPKM ga PPKM juga kan kebanyakan orang emang mental pengemis aja,kebanyakan orang mental pengemis,0
9,@azwarsiregar @jokowi PPKM (Pak Presiden Kapan Mundur),pak presiden mundur,0
10,@FKadrun Ini udah bener. Kl ada 50 juta masy gak mampu hrs ditanggung nafkahnya 2 juta sampe 3 bulan 300 T ya seharisnya memang ini dijalankan krn memang ppkm darurat ini butuh sukses.,benar kalo juta masyarakat ditanggung nafkahnya juta bulan iya seharisnya dijalankan darurat butuh sukses,2
11,"#TetapProkesJanganKendor
Sukseskan PPKM level 4 https://t.co/mGrT5MINsE",sukseskan level,2
12,"morning bbys!
jangan lupa sarapan ya, jangan keluar rumah inget ppkm okay!",morning bbys lupa sarapan iya keluar rumah ingat okay,2
13,"@Zahrah40291660 @PutraWadapi kelaparan mendera mulai mendera, karna usaha di tutup (dibubarkan) saat PPKM nggak dikasih makan...",kelaparan mendera mulai mendera usaha tutup dibubarkan dikasih makan,0
14,Menanti perpanjangan PPKM dan revisi peraturannya siapa tau ada yang menarik seperti makan di tempat 20 menit hehe,menanti perpanjangan revisi peraturannya tahu menarik makan tempat menit he,1
15,"Ppkm di perpanjang dan bansos akan turun sesuai dengan peraturan dan kebutuhan masyarakat, semoga covit segera berahir kami sudah lelah

#SukseskanPPKMLevel4 https://t.co/xkVXn2AhCm",perpanjang bansos turun sesuai peraturan kebutuhan masyarakat semoga covit berahir lelah,2
16,"Aku nanya kakakku : eh ppkm dilanjut sampe 16 agustus kah?
Kakakku : sampe kiamat katanya

😭😭😭 https://t.co/4ZfQr3IBuj",tanya kakakku eh dilanjut agustus kah kakakku kiamat katanya,0
17,"ppkm gini banyak bgt program bansos. seneng sih banyak yg dapet bantuan, tapi badan remuk ngurusin ini dan itu:( kudu kerja di hari libur apalagi-_-",banget program bansos senang sih bantuan badan remuk mengurusi kerja hari libur,0
18,"Total jumlah pasien covid-19 yang sembuh saat ini semakin bertambah mencapai 3.381.884 orang.

Kalau hasilnya terus membaik, artinya PPKM ini berhasil. Jangan lengah prosesnya dan lengkapi vaksinnya sebagai perlindungan ganda kita. https://t.co/EEG88YHdvZ",total jumlah pasien covid sembuh bertambah mencapai orang hasilnya terus membaik artinya berhasil lengah prosesnya lengkapi vaksinnya perlindungan ganda,2
19,@jokowi  Masyarakat sudah Sangat Lelah Dengan PPKM ini pak. Tolong kasihani kami. mari kita hentikan ppkm Terahir ini. Dan tetap Prokes. kami sudah sangat menjerit terjepit perkara pembatasan ini. :'(,masyarakat lelah pak tolong kasihani mari hentikan terahir tetap prokes menjerit terjepit perkara pembatasan,0
20,@agannyi Itu sih kalo dijadiin isolasi wilayah (lockdown). Karena ada kewajiban pemerintah bertanggungjawab untuk penuhi kebutuhan warganya selama isolasi. Kalo pake pembatasan model ppkm gini doang ya kesannya pemerintah pengen isolasi tapi gak mau keluar duit gede.,sih dijadikan isolasi wilayah lockdown kewajiban pemerintah bertanggungjawab untuk penuhi kebutuhan warganya isolasi pakai pembatasan model doang iya kesannya pemerintah isolasi keluar duit gede,0
21,@tvOneNews Emang bener di undang undang memang tidak ada istilah PPKM yang ada karantina kesehatan tapi mo gemana lagi semua lini sudah  dibungkam bikin MANDUL,benar undang undang istilah karantina kesehatan gemana lini dibungkam mandul,0
