,raw,processed,label
0,"@AREAJULID IMO, lbh baik jangan salahin ppkm lagi. Ini emang bukan waktunya untuk egois, semuanya harus ngerti kalo ini situasi lg darurat. Lagian jg udh ad kelonggaran sampe 30 orang, manfaatin aja itu baik baik. Kalo soal impian akan pernikahan, ya berarti emg belum wktunya d wujudin",imo lebih baik jangan salahkan ppkm lagi ini memang bukan waktunya untuk egois semuanya harus mengerti jika ini situasi lagi darurat lagian juga udah ada kelonggaran sampai orang manfaatin saja itu baik baik jika soal impian akan pernikahan iya berarti memang belum waktunya wujudin,2
1,@kembaransilent Iya Yg viral grgr bikin acara pas ppkm itu.,iya yang viral gara-gara buat acara pas ppkm itu,1
2,Saat ppkm begini kerja jadi enak banget cuman dateng absen nyari lapak terus tidur dah sampe pulang.,saat ppkm begini kerja jadi enak banget hanya datang absen mencari lapak terus tidur sudah sampai pulang,2
3,"#SukseskanPPKMLevel4
PPKM itu mmbatasi mobilitasmu tp bukan berarti rejekimu jg terbatas. 
Apa lagi pemerintah tlah mggulirkan bansos multi dimensi tuk masyarakat . Jadi jangan pernah abaikan prokes, ikut vaksin demi keselamatan kamu sekeluarga https://t.co/vFrsmHiWB8",ppkm itu mmbatasi mobilitasmu tapi bukan berarti rejekimu juga terbatas apa lagi pemerintah tlah mggulirkan bansos multi dimensi untuk masyarakat jadi jangan pernah abaikan prokes ikut vaksin demi keselamatan kamu sekeluarga,2
4,@bitiesfess ppkm itu ra makanya hacep di kamar bukan di pub wkwk,ppkm itu ra makanya hacep di kamar bukan di pub wkwk,1
5,"#RedamPandemiJagaNKRI
Mari jadi warganegara yg taat aturan. Stop untuk menghasut ato sebar hoax tentang Pandemi Covid19. Saatny bersatu bantu Indonesia melawan Covid19. Yuk taat aturan PPKM, disiplin Prokes serta ikut vaksinasi. 

Save Indonesia berarti save kamu juga loh! https://t.co/ubGNPUR7oY",mari jadi warganegara yang taat aturan stop untuk menghasut atau sebar isu bohong tentang pandemi covid saatny bersatu bantu indonesia melawan covid yuk taat aturan ppkm disiplin prokes serta ikut vaksinasi save indonesia berarti save kamu juga loh,2
6,"@Asa73144670Asa In syaa Allah kalo bisa menang Yatim piatu, dhuafa Dan masyarakat terdampak PPKM akan ikut merasakan manfaatnya 14 juta Ini.

Aamiin",ini syaa allah jika bisa menang yatim piatu dhuafa dan masyarakat terdampak ppkm akan ikut merasakan manfaatnya juta ini amin,2
7,"♡ 𝐓𝐈𝐏𝐒 𝐏𝐑𝐎𝐃𝐔𝐊𝐓𝐈𝐅 𝐒𝐄𝐋𝐀𝐌𝐀 𝐃𝐈𝐑𝐔𝐌𝐀𝐇 𝐀𝐉𝐀 ♡

Selama PPKM ngerasa bosen dirumah aja? Kalian bisa melakukan hal-hal berikut yg bisa dilakukan dirumah loh!! #RUBIStayProductive #InspiringRUBI https://t.co/06Inng0bPd",selama ppkm merasa bosan dirumah saja kalian bisa melakukan hal hal berikut yang bisa dilakukan dirumah loh,2
8,"PPKM 
Pernah Perhatian Kemudian Menghilang = Ghosting dong
Ah sedep 😂😭",ppkm pernah perhatian kemudian menghilang ghosting dong ah sedep,1
9,Ppkm efektif? KAGA,ppkm efektif tidak,0
