,raw,processed,label
0,Jadinya diperpanjang ga sih ini ppkm?,jadinya diperpanjang sih ppkm,1
1,"Proses 
Persiapan
Kemiskinan 
Masyarakat 
Ya ppkm hanya untuk warga negara indonesia semata sementara di lain sisi untuk mengecok perhatian rakyat indonesia yg mana warga negara asing asal tiongkok terus berdatangan",proses persiapan kemiskinan masyarakat iya ppkm untuk warga negara indonesia semata sisi untuk mengecok perhatian rakyat indonesia warga negara asing asal tiongkok terus berdatangan,0
2,"Walaupun idul adha(hari raya qurban)esok hari dlm ""keterbatasan"" dikarenakan ppkm(akibat pandemi)..semoga kita sebagai umat muslim tetap semangat dan khusyu/khidmat dlm menyambutnya/merayakannya..semoga Allah swt segera menghilangkan wabah ini..Aamiin yra😇😇",idul adha hari raya qurban esok hari keterbatasan ppkm akibat pandemi semoga umat muslim tetap semangat khusyu khidmat menyambutnya merayakannya semoga allah swt menghilangkan wabah amin yra,2
3,@Izamajadehh Ya gimana PPKM bikin gila kalo ga kuat mah bisa kejalur RSJ,iya ppkm gila kuat mah kejalur rsj,0
4,Mari PPKM cause ada yg lebih penting untuk diperjuangkan. https://t.co/WCCGE59DG2,mari ppkm cause penting untuk diperjuangkan,2
5,"@PutraWadapi @tonichan157 Jalan berliku menuju 2024, dengan cara apapun akan di usahakan untuk mendongkrak citra seperti pasang BALIHO ditengah tengah PPKM darurat dan penderitaan Rakyat.",jalan berliku menuju cara apapun usahakan untuk mendongkrak citra pasang baliho ditengah tengah ppkm darurat penderitaan rakyat,0
6,"pagi ini 😊

agar kuat menjalani PPKM
tetap semangat
hati yang gembira membuat imun tetap tinggi

salam sehat. https://t.co/9wrsR2ZYC6",pagi kuat menjalani ppkm tetap semangat hati gembira membuat imun tetap tinggi salam sehat,2
7,@kddoxs Mendukung program pemerintah PPKM,mendukung program pemerintah ppkm,2
8,selama ppkm ini bangun terpagi aku😍,ppkm bangun terpagi,1
9,@Alergisefood kan ppkm sksk,ppkm sksk,1
10,ppkm bakal diperpanjang lagi apa engga ya,ppkm bakal diperpanjang iya,1
11,"@___Mr_J03n4____ Yg kapan hati ngadain event yg ""meal-meal"" Itu, per outlet cuma 50jt.
Padahal yg dijual bisa jadi ratusan kali lipat dr si ibu. Meski bukan di masa PPKM, tp kerumunannya lebih parah.
Ini bukan keadilan tapi.....",hati mengadakan event meal meal outlet juta dijual jadi ratusan kali lipat sih ibu masa ppkm kerumunannya parah keadilan,0
12,"PPKM Atasi Covid

https://t.co/2zx3x3ViOY

TWK KPK Sah Konstitusiinal",ppkm atasi covid twk kpk sah konstitusiinal,2
13,"@BigGuzz Iya nih, kontrakan udah abis harusnya awal bulan Juli gw harus pindah tp gagal gegara PPKM kemaren. Kalo abis ini ada lagi gw bakal nekat terabas aja deh.",iya kontrakan habis awal bulan juli pindah gagal gara-gara ppkm kemarin habis bakal nekat terabas deh,0
14,"Kami meminta kepada Gubernur untuk menyampaikan imbauan kepada pengusaha/pemimpin perusahaan agar mengoptimalkan PPKM Rencana Keberlangsungan Usaha dalam Menghadapi Pandemi COVID-19 
#TolongPatuhiAturanPPKM https://t.co/8F1edwaInY",meminta gubernur untuk menyampaikan imbauan pengusaha pemimpin perusahaan mengoptimalkan ppkm rencana keberlangsungan usaha menghadapi pandemi covid,2
15,@HanifahAndini96 Dukung PPKM Darurat,dukung ppkm darurat,2
16,"my mitra text me pake kalimat ""agar jobdesc ini lebih jelas"".
terus tbtb ngasih timeline buat ngedesek printing, yg di mana printing company nya pindah grgr merekanya sendiri yg ga read email sebulan.
endingnya gue yg disuruh ke bogor buat ngedesk printing. gila apaya, PPKM, die.",my mitra text me pakai kalimat jobdesc jelas terus tiba-tiba memberikan timeline ngedesek printing printing company nya pindah gara-gara merekanya read email sebulan endingnya disuruh bogor ngedesk printing gila apaya ppkm die,0
17,"@alam_bis Bismillah semoga ini pandemi coroncong cepet reda lagi yaa, ini aja aku seharusnya juga pjj, tapi karena ada urusan ngelab, mau gamau harus swab lagi, izin kepolisian Deket sekolah, pake pakaian lebih ribet, trs waktu terbatas banget gara2 PPKM :'(
Stay safe ya Alam!",bismillah semoga pandemi coroncong cepat reda ya pembelajaran jarak jauh urusan ngelab gak mau swab izin kepolisian sekolah pakai pakaian ribet terus waktu terbatas banget gara ppkm tinggal safe iya alam,0
18,"@duniazie Wahh ilmunya bermanfaat banget nih yaa, alhamdulillah ppkm ada dampak positifnya",ilmunya bermanfaat banget ya alhamdulillah ppkm dampak positifnya,2
19,"Akibat PPKM,Dugemnya di rumah aja ya mam… toh hanya kita aja, anak2 dah di ungsikan 🤙 https://t.co/MC1zogQWpR",akibat ppkm dugemnya rumah iya makan anak ungsikan,1
20,"@Mawar_Hitam09 Pagi bos, sudah balik maning nang Bali toh,welcome to Bali, selamat menjalankan PPKM=Pelan tapi Pasti Kita Menang melawan COVID-19,  jangan lupa himbauan Pak Yan Koster, minum kopi pait + arak biar semangat 😁",pagi bos balik maning nang bali welcome tryout bali selamat menjalankan ppkm pelan menang melawan covid lupa himbauan pak yan koster minum kopi pahit arak semangat,2
21,"Pemprov DKI melakukan monitoring terhadap perusahan di Jakarta di masa PPKM Darurat. Dari 276 kantor yang disidak, sebanyak 202 perusahaan ditutup sementara.",pemprov dki melakukan monitoring perusahan jakarta masa ppkm darurat kantor disidak perusahaan ditutup,1
22,ppkm mikro dimana saja,ppkm mikro dimana,1
23,"@Kilo11_40N74W @4nneve @Wedhus999 Tidak merubah fakta:
Semakin BEBAL semakin panjang PPKM nya.

Ini yg harusnya kamu SOROTI.

Negara rakyat bintang 3 tidak bisa menuntut fasilitas bintang 5.

Seluruh dunia kena pandemi.

MANA NYINYIRMU UNTUK SEBAGIAN RAKYAT YG BEBAL?

Otak ada?

Jangan KHIANATI BANGSA-MU",merubah fakta bebal panjang ppkm nya soroti negara rakyat bintang menuntut fasilitas bintang dunia kena pandemi nyinyirmu untuk sebagian rakyat bebal otak khianati bangsa mu,0
24,"@panditfootball kayaknya bakalan mirip ppkm nih, tiap minggu bakalan ada pengumuman mundur juga..😂Football is coming soon..",mirip ppkm minggu pengumuman mundur football is coming soon,1
25,PNS Irlandia utara kalo PPKM gini gaji nya dipotong apa engga ya?,pns irlandia utara ppkm gaji nya dipotong iya,1
