,raw,processed,label
0,"nonton si, lagi ppkm juga kan https://t.co/EGwH45jnFb",menonton sih ppkm,1
1,"me before PPKM : supply barang"" aesthetic ke toko souvenir dan punya consigner

me during PPKM : tidooorrr seharian, cuma ngerjain orderan custom. kalo ada syukur, kalo kaga yaudeh bye. https://t.co/fQoRyxlyto",me before ppkm supply barang aesthetic toko souvenir punya consigner me during ppkm tidor seharian ngerjain orderan custom syukur yaudeh bye,1
2,"@frhan_bp Iya.. efek ppkm mah apa"" kudu onlen",iya efek ppkm mah online,1
3,"Kegiatan kamu selama ppkm apa?
Kerja
Kerja
Kerja
Swab
Dah gitu aja muter terus gak kelar kelar.",kegiatan ppkm kerja kerja kerja swab muter terus kelar kelar,1
4,@mporatne Walau ppkm terus diperpanjang tapi bantuan juga tetap diberikan yaa,ppkm terus diperpanjang bantuan tetap diberikan ya,2
5,"Diatur yaa. PPKM Rakyat sehat

https://t.co/kpbnfgrjvq",diatur ya ppkm rakyat sehat,2
6,"@KemenkeuRI kan lagi PPKM min, gimana mau melangkah maju, takut nanti saat melangkah malah terpapar covid. 🥺",ppkm min melangkah maju takut melangkah terpapar covid,0
7,"#RedamPandemiJagaNKRI
Mari tuips bersama kita trs usaha pemerintah dlm penanganan Covid19. Jgn lupa untuk taat prokes n ikut vaksinasi jika mendapat kesempatan. Dibutuhkan kerjasama n disiplin Masyarakat agar PPKM Level 4 ini sukses n berhasil menekan penyebaran Covid19 🙏 https://t.co/Td1SG7MvhF",mari tuips terus usaha pemerintah penanganan covid lupa untuk taat prokes ikut vaksinasi mendapat kesempatan dibutuhkan kerjasama disiplin masyarakat ppkm level sukses berhasil menekan penyebaran covid,2
8,PPKM kapan berhenti P Jok ....kok nyambung terus ....,ppkm berhenti jok menyambung terus,0
9,"@nuryantidewi78 InsyaAllah selalu semangat, Kak. Semoga perpanjangan masa ppkm semakin membuat kasus positif semakin menurun, amiiin",insyaallah semangat kak semoga perpanjangan masa ppkm membuat kasus positif menurun amin,2
10,"user @mnsgky tolong nikah nya nanti ya abis ppkm, biar bisa undang paduka https://t.co/Ri7ebi7nec",tolong nikah nya iya habis ppkm undang paduka,1
11,"@AYU_PROM0TE @albertocung @TeddyWoga @adies___ @prasetyotien94 @Adjie08Novi @bunga_lao @FarahNathan24 @Momogizele2 @KellyCyntia4 @21kayyenz @devi_sriana @KaredokLeunca__ @NissaBella17 @evandyalovely @lettachantik @Mellyme05 @mypinky818 Assalamualaikum kk
Selamat pagi yaa
Sdh hr sabtu lg..
PPKM n salam sehat yaa",menjadi seseorang alamualaikum kakak selamat pagi ya hari sabtu ppkm salam sehat ya,2
12,@JSuhaim Kita sukseskan PPKM,sukseskan ppkm,2
13,"Met pagi gaes, dah ga kehitung WFH dg PPKM nya. Rasanya jadi dah nyaman dg WFH yg xtra kerja ak lebih bnyk kerja. Kerasa Produktif, tp jadi ttp pingin break juga. Aplg klu lihat jalanan kosong, kayaknya enak buat jalan2. tetap semangat tuk WFH. Have a great Wednesday my friends https://t.co/9QxiyNAiNh",selamat pagi guys kehitung wfh ppkm nya rasanya jadi nyaman wfh xtra kerja kerja kerasa produktif jadi tetap pengin istirahat aplg lihat jalanan kosong enak jalan tetap semangat untuk wfh have great wednesday my friends,2
14,saking banyaknya yg ngjoke singkatan ppkm malah jd lupa sendiri arti ppkm yg ori,saking banyaknya ngjoke singkatan ppkm jadi lupa arti ppkm orisinal,1
15,"S3lamat Idul Adha kawan pasti beda banget ya sama tahun lalu ada yang namanya #dirumahaja bcs ppkm tetap sehat kawan disana lekas membaik bumiku dan ayo kita lepas masker ayo kita sekolaah lagi 
#EidMubarak
#EidAlAdha https://t.co/hW1HcUUBdK",lamat idul adha kawan beda banget iya tahun namanya bcs ppkm tetap sehat kawan disana lekas membaik bumiku ayo lepas masker ayo sekolaah,2
16,Giliran lg deket ma org aja ppkm aduduuu,giliran orang ppkm adudu,1
17,"Alhamdulillah, bukan sekedar mengikuti PPKM, tapi juga memberi perhatian dan fasilitas PPKM @DKIJakarta @PemdaDKIJakarta @dinkesJKT @aniesbaswedan https://t.co/XEsKcYHdli",alhamdulillah sekedar mengikuti ppkm memberi perhatian fasilitas ppkm,2
18,@Khansayaang @AREAJULID allhamdulillah kak masih kedapetan☺️ semoga aja bulan² ini ppkm kaka dpt yg lebih ya kak bansos nya!🙏🏻☺️,allhamdulillah kak kedapetan semoga bulan ppkm kakak iya kak bansos nya,2
19,"Dukung PPKM LV4, walau berat keputusan ini harus di ambil, untuk menekan penyebaran Covit, walau pahit kita harus lakukan, demi kesehatan rakyat 

#RedamPandemiJagaNKRI https://t.co/4K3FCMX7U4",dukung ppkm lv berat keputusan ambil untuk menekan penyebaran covit pahit lakukan kesehatan rakyat,2
20,"Iptu M. Arif Rachman bersama Ipda Wawan,SE.,melaksanakan sosialisasi PPKM Darurat. https://t.co/OxM9tLw7W5",iptu arif rachman ipda wawan melaksanakan sosialisasi ppkm darurat,2
21,@ervhmwn Beres ppkm gas kitaaaaa,beres ppkm gas,1
22,Stay strong pejuang PPKM,tinggal strong pejuang ppkm,2
23,"@narkosun Semoga ppkm diperpanjang, biar ada babak bikini ke 2 atau mungkin topless....😂😷
Tapi salut sama doi yg menepati nazarnya, gaq kayaq AR yg cm omdo",semoga ppkm diperpanjang babak bikini tople salut doi menepati nazarnya gaq kayak ar omong doang,1
24,@DevitaYani_Y Yuk turit serta sukseskan PPKM Darurat,yuk turit sukseskan ppkm darurat,2
25,@RachlanNashidik Pemerintah menolak lockdown krn PPKM saja ditolak rakyat adlh logical fallacy tingkat tinggi. Silogisme premisnya kacau. Seharusnya dipahami dl 2 hal; lockdown yg benar versi UU kekarantinaan kesehatan 2018 dn aturan PPKM.,pemerintah menolak lockdown ppkm ditolak rakyat logical fallacy tingkat tinggi silogisme premisnya kacau dipahami lockdown benar versi uu kekarantinaan kesehatan aturan ppkm,0
26,"@mycrowaft sar, aku pernah stuck 2 bulan juga. tapi pas ppkm ini bisa turun lagi. jangan stress dan sedi dulu. mari berjuang bersama. https://t.co/4kqdQj24Iz",sar stuck bulan pas ppkm turun stre sedi mari berjuang,2
27,Rasanya gak mgkin gw ngerasain ppkm hehe,rasanya merasai ppkm he,1
28,"Bima Arya Sugiarto Dukung Perpanjangan PPKM Level 4
https://t.co/yul8Nl6icC Bersama Rakyat",bima arya sugiarto dukung perpanjangan ppkm level rakyat,2
29,"Mulai berlaku ya PPKM darurat hari ini
Semoga bisa neken angka positif yang terus naik.
Kurang sih dua minggu, mesti sebulan atau satu setengah bulan baru efektif dampaknya",mulai berlaku iya ppkm darurat hari semoga neken angka positif terus naik kurang sih dua minggu mesti sebulan satu setengah bulan baru efektif dampaknya,2
30,@rahmaniarbaftim Sangat bermanfaat krna PPKM konsepnya JALANI AJA DULU🙈🤭,bermanfaat ppkm konsepnya jalani,2
31,"gais, kan lg penyekatan ppkm nih kalo mau vaksin boleh lewat ga?",gais penyekatan ppkm vaksin lewat,1
32,"Dukung perpanjangan PPKM. 
Kami Bersama Jokowi https://t.co/TJsWk96ymf",dukung perpanjangan ppkm jokowi,2
33,Pengen nemenin🥺 tp lagi ppkm https://t.co/TH2OZXROZw,nemenin ppkm,1
34,"Jngn bersembunyi dngn nomenklatur PPKM ya pak presidenku, istilah d ubah2 biar gk menjalankan pasal 52 dan 55 😌 https://t.co/pxPqEJAUJ0",bersembunyi nomenklatur ppkm iya pak presidenku istilah ubah gak menjalankan pasal,0
35,@yarachantique @Gi_Grey @iG_grey baru kena PPKM aja dah ngeluh mewek koar2..  aku yg bangkrut 2 bulan sejak covid 19 hadir aja masih bisa ketawa ketawa kok..,baru kena ppkm ngeluh mewek teriak bangkrut bulan covid hadir ketawa ketawa,0
36,"PPKM Level pedas di Pekanbaru so far terpantau aman dan terkendali, belum ada baku hantam",ppkm level pedas pekanbaru sok far terpantau aman terkendali baku hantam,0
37,"Vaksin malah disuruh beli doong, udah tau PPKM apa2 cari duit susah, ini vaksin disuruh beli HAHAHA!",vaksin disuruh beli tahu ppkm cari duit susah vaksin disuruh beli hahaha,0
38,"20 TKA China Masuk Sulsel Saat PPKM Darurat, Imigrasi Mengaku Tidak Tahu https://t.co/cjAfQ9wbwI",tka china masuk sulsel ppkm darurat imigrasi mengaku tahu,0
39,"@republikaonline Sampai kurus kering cari solusi agar rakyat tidak demo melengserkan jokowi..
Makanya ppkm diperpanjang terus",kurus kering cari solusi rakyat demo melengserkan jokowi ppkm diperpanjang terus,0
40,"Pagi pagi udah di stop polisi lalulintas 😉😉, moge 1000 CC ini , bukan pak di bawahnya 600cc 4 silinder , cek sim STNK , ini knalpot Akrapovic ori .. lagi ppkm ini mas katanya , saya jalan sebentar aja manasin motor .oke silahkan jalan langsung pulang ya ..baik bener pak polisi",pagi pagi stop polisi lalulintas motor gede cc pak bawahnya cc silinder cek sim stnk knalpot akrapovic orisinal ppkm mas katanya jalan sebentar manasin motor oke silakan jalan langsung pulang iya baik benar pak polisi,1
41,Selama PPKM Level 4 ini kalo makan ayce yang 60 menit itu berarti 3 kali masuk ya?🤔,ppkm level makan ayce menit berarti kali masuk iya,1
42,"@UyokBack PPKM Level 1  bungkus daon pisang
PPKM Level 2  bungkus kertas nasi karet 2
PPKM Level 3  bungkus kertas nasi disobek
PPKM Level 4  bungkus kotak nasi kertas
dah kaya nasi uduk 🤦‍♂️",ppkm level bungkus daon pisang ppkm level bungkus kertas nasi karet ppkm level bungkus kertas nasi disobek ppkm level bungkus kotak nasi kertas kayak nasi uduk,1
43,"Semalem jam 10 kurang gw ke apotik beli obat dan liat daerah rumah gw ga ada ppkm. Itu angkringan apa yg jual mknn di sepanjang pinggir jln, banyak. Yg beli &amp; mkn jg di tmpt jg ada. Apaan yg ppkm. Mau covid cepat kelar ga sih 😭😭😭😭😭 https://t.co/5xUildp8m6",semalem jam kurang apotik beli obat lihat daerah rumah ppkm angkringan jual mknn pinggir jalan beli amp tempat ppkm covid cepat kelar sih,0
44,Dan PPKM diperpanjang lagi,ppkm diperpanjang,1
45,"PPKM level 4 Diperpanjang sampe 9 Agustus, tgl 10 jadi level 5",ppkm level diperpanjang agustus tanggal jadi level,1
46,"Mari bersama kita cegah penularan Covid-19 dengan patuhi kebijakan PPKM Darurat

Masyarakat harus taat dan patuh terhadap protokol kesehatan, serta berbagai macam kebijakan dan aturan dari pemerintah agar Indonesia segera bebas dari Covid-19.

#TolongPatuhiAturanPPKM https://t.co/OEYFyP6k2C",mari cegah penularan covid patuhi kebijakan ppkm darurat masyarakat taat patuh protokol kesehatan berbagai kebijakan aturan pemerintah indonesia bebas covid,2
47,@decafred1 PPKM gini buka gk sih?,ppkm buka gak sih,1
48,"PPKM Darurat memang harus dilakukan secara kebersamaan, hal tersebut untuk memutus mata rantai virus. 
Perlu pemahaman semua pihak untuk bisa mengendalikan diri sehingga semuanya bisa saling menghindari penularan.

#PatuhProkesHargaMati https://t.co/QPYhFEnb51",ppkm darurat dilakukan secara kebersamaan untuk memutus mata rantai virus perlu pemahaman pihak untuk mengendalikan menghindari penularan,2
49,"JB ppkm belanja dari rumah yu 
Shopee : dagangmusiman https://t.co/hwc5LRCEvT",jb ppkm belanja rumah yuk shopee dagangmusiman,1
50,"Gw mimpi kena razia ppkm, trus pcr ditempat, eh positif. Wkwkwwk random amat",mimpi kena razia ppkm terus pcr ditempat eh positif wkwkwwk random,0
51,@AlbarAmandio @CNNIndonesia Salah sendiri bolos apel tapi malah nongkrong. Nongkrong pas jam ppkm lagi,salah bolos apel nongkrong nongkrong pas jam ppkm,0
52,@SINDOnews Ya kalau rakyat patuh menjalankan PPKM insyaallah covit semakin menurun,iya rakyat patuh menjalankan ppkm insyaallah covit menurun,2
53,"@Ibas @kompascom @PemkotJogja Lo baca isi berita sih ga ada ngomongin soal wisatawan, tp ngomong soal aturan org dr luar daerah yg masuk ke jogja musti sehat dan nunjukin bukti sdh vaksin sbgmn mmg aturan PPKM Darurat yg brlaku, lagian khn mmg semua obyek wisata di DIY sjk kmrn ditutup",baca isi berita sih membicarakan soal wisatawan bicara soal aturan orang luar daerah masuk jogja mesti sehat nunjukin bukti vaksin sbgmn aturan ppkm darurat brlaku khn obyek wisata daerah istimewa yogyakarta kemarin ditutup,1
54,mantab PPKM di perpanjang...makin WFH deh ah,mantab ppkm perpanjang wfh deh ah,2
55,"@tifaneeaaa . idup org2 pada lg susah trus dia ikut berkontribusi jalan2 pas ppkm demi tidak stress. coba lu pikir, berapa banyak org yg kehilangan pekerjaannya, ekonomi keluarganya anjlok grgr ppkm. trus lu masih bs seneng2 post ig story!!! fucked up bgt",hidup orang susah terus ikut berkontribusi jalan pas ppkm stre coba pikir orang kehilangan pekerjaannya ekonomi keluarganya anjlok gara-gara ppkm terus senang post ig story fucked up banget,0
56,"semoga ini jdi ppkm yang terakhir ya,dan semoga corona udah mulai reda,semoga semua bsa bekerja sama🤗 https://t.co/t8lDLhuX21",semoga jadi ppkm terakhir iya semoga corona mulai reda semoga bekerja,2
57,"Salah satu hal kontol bulan ini adalah udah tau lagi PPKM masih kerja bakti

Kontol",salah satu kontol bulan tahu ppkm kerja bakti kontol,0
58,"Kubilang juga apa, PPKM tuh sebenernya setahun cuma nyicil aja tuh pengumumannya",kubilang ppkm setahun mencicil pengumumannya,1
59,"PPKM,
Pemud Pemudi Kembali Melonte",ppkm pemud pemudi kembali melonte,1
60,"@jokowi Pak tolong cabut PPKM 😭 udah muak sama pembelajaran online.
Tohh sekarang berita perihal Covid-19  ndak buming seperti di awal awal pak..
Sekarang udah banyak masyarakat kemana mana ga pake masker hanya saja ada aturan PPKM jadi ngak terlalu bebas.
Mohon jangan diperpanjang lagi",pak tolong pergi ppkm muak pembelajaran onlen berita perihal covid buming awal awal pak masyarakat kemana pakai masker aturan ppkm jadi nggak bebas mohon diperpanjang,0
61,@Hernanurf Dampak ppkm po,dampak ppkm po,1
62,@menfessTA Pas ppkm beroperasi terus lur,pas ppkm beroperasi terus lur,1
