,raw,processed,label
0,Cobaan lg ppkm emang gak pernah nanggung,cobaan ppkm nanggung,0
1,"@CATSWAGI Hri ini terkahir, ppkm mah dri kmrn kmrn",hari terkahir ppkm mah kemarin kemarin,1
2,"Udah 5 hari libur kerja.
Bosen rasanya kerjaan tiap hari otak atik motor biar ada kesibukan.
Gegara ppkm tai kucing lah :(",hari libur kerja bosan rasanya pekerjaan hari otak atik motor kesibukan gara-gara ppkm tahi kucing,0
3,@rainbowmenfess Lagi ppkm nder,ppkm brother,1
4,"Padahal pandemi tapi banyak dari sebagian orang-orang yang bisa dibilang kaya, mereka udah banget untuk menghambur-hamburkan uang &amp; nggak lihat dulu padahal kan situasi masih ppkm, di tengah pandemi. Orang kecil aja nyari duit susahnya minta ampun.

Reminder.",pandemi sebagian orang orang dibilang kayak banget untuk menghambur hamburkan uang amp lihat situasi ppkm tengah pandemi orang mencari duit susahnya meminta ampun reminder,0
5,"PPKM Darurat. 

PPKM Rakyat Sehat https://t.co/dR4tpRlsh8",ppkm darurat ppkm rakyat sehat,2
6,"@orangjlas Astagfirullah mna temen gw janji traktirnya abis ppkm, tunggu kiamat dong",astagfirullah teman janji traktirnya habis ppkm tunggu kiamat,0
7,"@azzura_lhi Sama banget, buka FB berita duka terus, hiks... smeoga PPKM bisa menekan angka kematian karena Covid-19",banget buka fb berita duka terus hiks smeoga ppkm menekan angka kematian covid,2
8,@infodrakor_id Yaelah udh kaya ppkm aja dahhhh🤡,yaelah udah kayak ppkm,1
9,@mardasari nunggu ppkm selesai dulu daa heheh,menunggu ppkm selesai daa heheh,1
10,"@SabdoPa27295009 @KakekHalal 👳‍♂️pagi
👩pagi pak
👳‍♂️kt semua hrs kerjasama
     hrs kolaborasi dlm ppkm ini
     km tau kan arti kolaborasi ?
👩ia tau pak
     artinya minta sumbangan 😀👎🏿",pagi pagi pak kerjasama kolaborasi ppkm tahu arti kolaborasi tahu pak artinya meminta sumbangan,2
11,"Tadinya mau hari ini, qodarullah ppkm. Stay safe ya, penduduk kota tetangga (:",hari qodarullah ppkm tinggal safe iya penduduk kota tetangga,2
12,"Sayang gak disebut tanggal dan jam nya! Klo benar video ini diambil saat PPKM diberlakukan berarti ya gak ada gunanya, mau tarik rem darurat, percumaaaahhh!!! https://t.co/yirCyiN1GS",sayang disebut tanggal jam nya benar video diambil ppkm diberlakukan berarti iya gunanya tarik rem darurat percumah,0
13,@Marvfess Moga ppkm kelar yatuhan gue kepo banget sama sepulu cincin ini dari awal muncul,moga ppkm kelar yatuhan mau tahu urusan orang banget sepulu cincin awal muncul,1
14,Anjir ppkm aja terooosss sampe gua gilaaa,  ppkm teros gila,0
15,Pemprov Jatim mengajak peran aktif masyarakat untuk turut serta mengawal proses PPKM Darurat yang sedang berlangsung,pemprov jatim mengajak peran aktif masyarakat untuk turut mengawal proses ppkm darurat berlangsung,2
16,braw! Info dong klinik UB buka ga hari kerja pas ppkm?,braw informasi klinik ub buka hari kerja pas ppkm,1
17,"Apa itu PPKM, ditempatku kalau belum tumbang ya wajib mangkat hahah",ppkm ditempatku tumbang iya wajib mangkat hahah,0
18,"PPKM, 
PROGRAM PERSIAPAN KOMUNIS MENJAJAH. https://t.co/I6IMGgQ3ff",ppkm program persiapan komunis menjajah,0
19,@dusrimulya Pem hrsnya support ppkm darurat mrk yg terdampak berikan pinjaman tanpa bunga shg mrk bs tetap bertahan hidup tentu mrk yg mmeinjam jg hrs jujir dan gak memanipulasi,pem suppoppkm darurat terdampak berikan pinjaman bunga tetap bertahan hidup mmeinjam jujir memanipulasi,2
20,"Pasti bisa dooongg..

Yok ikuti aturan PPKM Darurat Gaes https://t.co/VC2qpM9948",yuk ikuti aturan ppkm darurat guys,2
21,"Ya Allah, gapulang kangenn, pulang capek banget bawa motornya, mana abis lepas masuk malem, udah dong ppkm nyaaa, biar bisa naik kereta lagi 🥀",iya allah gapulang kangen pulang cape banget bawa motornya habis lepas masuk malam ppkm nya naik kereta,0
22,"@ddewialx @mutiandries Nanti aja kalo udah bener² selesai PPKM, biar enak ngobrolnya hehehe",benar selesai ppkm enak ngobrolnya hehehe,1
