,raw,processed,label
0,"@Markonah_003 Wah ganti nama oembatasan lagi nih, psbb, ppkm berlevel2, ........??",ganti nama oembatasan psbb berlevel,1
1,"@Rizkyba63579001 #GulingkanRezimDzalim 
PPKm menimbulkan  Kekerasan dan perampsaan yg dipertontonkan",menimbulkan kekerasan perampsaan dipertontonkan,0
2,kirain juli gakan dapet orderan karena ppkm dan idul adha wkwk. ternyata nyempil 1 dari yutuber banjarmasin. LANCAR LANCAR YOP KERJA,mengira juli tidak akan orderan idul adha wkwk ternyata nyempil yutuber banjarmasin lancar lancar yop kerja,2
3,"@aik_arif Pilihan yang sulit 
Cari makan dg melanggar ppkm, takut kena virus lalu mati
Gak cari makan, taat ppkm,, gak ada yang dimakan , mati juga 
Perlu lebih arif bagi semua pihak tentang ppkm, prokes, virus dan sebagainya",pilihan sulit cari makan melanggar takut kena virus mati cari makan taat dimakan mati perlu arif pihak prokes virus,0
4,"@Cobeh09 Karuan karantina udaaaah pake ppkm perpanjangan mulu 😑
Semua juga pro pembatasan demi keselamatan, tapi ya emang kudu pake akal juga. Modal 11rb triliun lho di kantong, susah amat ngasih makan rakyat nalangi makannya selama karantina.",karuan karantina pakai perpanjangan terus profesional pembatasan keselamatan iya pakai akal modal ribu triliun lho kantong susah memberikan makan rakyat nalangi makannya karantina,0
5,"@mapaybandungcom @PRFMnews Kalau PPKM diperpanjang, @Ekomaung pake bikini.",diperpanjang pakai bikini,1
6,"Pulang jogging. 
Harus sehat di situasi negara yang serba sakit. 
Skip berita” yg bikin mental tidak sehat, lalu berdampak pada lambung. 
Aku sih lagi fokus pada messi yang mau gabung ke PSMS Medan. 
Abis ppkm dia tiba di kuala namu🥳 https://t.co/YVrTPTqznK",pulang jogging sehat situasi negara serba sakit skip berita mental sehat berdampak lambung sih fokus me gabung psms medan habis tiba kuala namu,2
7,"#TetapProkesJanganKendor
Sukseskan PPKM level 4 https://t.co/mGrT5MINsE",sukseskan level,2
8,@sebuchill mau ke teller ;__; soalnya dibatesin kuotanya ppkm gini 😭,teller soalnya dibatesin kuotanya,0
9,"@tirta_hudhi @arifbsantoso Semoga ppkm tidak bersambung
CC @arifbsantoso https://t.co/UiKRSyNucv",semoga bersambung cc,1
10,@faramisop Alhamdulillah..tiap hari bantu tetangga yg lagi pada kesusahan akibat PPKM,alhamdulillah hari bantu tetangga kesusahan akibat,2
11,Kebijakan terbaru gubernur Anies tentang PPKM terhadap Pedagang Kaki Lima dan UMKM lebih Humanis dan Merakyat... MasyaaAllaah Luar biasa.. AllaahuAkbar 3X https://t.co/DujGGlinUY,kebijakan terbaru gubernur anies pedagang kaki lima umkm humanis merakyat masyallaah luar allaahuakbar,2
12,"@tinywinniepooh Ppkm jeee, jaga jarak biar gak rame",je jaga jarak ramai,2
13,"#OptimisKalahkanPandemi .
Jangan abai, jangan lalai. 
Taati prokes
Nyatanya PPKM berhasil tekan penyebaran dn lonjakan kopit.
Yuk bantu para Nakes dn relawan https://t.co/iISBPg6Gdd",abai lalai taati prokes nyatanya berhasil tekan penyebaran lonjakan kopit yuk bantu tenaga kesehatan relawan,2
14,@panah_bintangku Jadi penasaran nih sama program lanjutan PPKM level 4,jadi penasaran program lanjutan level,1
15,"@rinyourbae Awalnya ppkm, jadinya ppppkkkkmmmmmm",awalnya jadinya pkm,1
16,"Bbrp kali banyak temen2 yg ngajak diskusi ttg ppkm, covid, dan segala perintilannya.

Wkwkwk

Ya Allah, tolong jaga warga +62 ya  dan pemerintahnya jg biar jujur &amp; TULUS aamiin",kali teman mengajak diskusi covid perintilannya wkwkwk iya allah tolong jaga warga iya pemerintahnya jujur amp tulus amin,2
17,@farahdjafar Kita hrus lbh kreatif menyiasati ppkm ini,kreatif menyiasati,2
18,"PPKM darurat di perpanjang, sampai kamu sadar kalau kamu dan diri nya tak mungkin bersatu",darurat perpanjang sadar nya bersatu,1
19,"@SabdoPa27295009 @KakekHalal 👳‍♂️pagi
👩pagi pak
👳‍♂️kt semua hrs kerjasama
     hrs kolaborasi dlm ppkm ini
     km tau kan arti kolaborasi ?
👩ia tau pak
     artinya minta sumbangan 😀👎🏿",pagi pagi pak kerjasama kolaborasi tahu arti kolaborasi tahu pak artinya meminta sumbangan,2
