raw,processed,label
Hari ini udh mulai ppkm yaa..😣,hari ini udah mulai ppkm ya,1
@e100ss mohon info apakah PGS pasar turi selama ppkm buka seperti biasa atau tutup. Terima kasih,mohon informasi apakah pgs pasar turi selama ppkm buka seperti biasa atau tutup terima kasih,1
"@bertanyarl Di rumah aja soalnya lagi ppkm

Entah bakal ngapain",di rumah saja soalnya lagi ppkm tidak tahu bakal sedang apa,1
"Pangkal penanganan pandemi #covid19 di Indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes, PSBB dan PPKM baik mikro maupun #PPKMDarurat , contoh kemarin di Sidoarjo adain vaksin tapi menimbulkan kerumuman hebat. Podo ae wkwk",pangkal penanganan pandemi di indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes psbb dan ppkm baik mikro maupun contoh kemarin di sidoarjo mengadakan vaksin tapi menimbulkan kerumuman hebat podo saja wkwk,0
ppkm mikro anjingggggggg,ppkm mikro anjing,0
"Di saat genting layaknya dalam situasi peperangan seperti sekarang ini, dimana banyak nyawa yang melayang.

Percuma pemerintah/aparat keamanan berlakukan PPKM Mikro kalau mereka tdk tegas menangkap para politikus2 pengadu domba, kaum mabuk agama dan pejabat daerah yg pembangkang!",di saat genting layaknya dalam situasi peperangan seperti sekarang ini dimana banyak nyawa yang melayang percuma pemerintah aparat keamanan berlakukan ppkm mikro kalau mereka tidak tegas menangkap para politikus pengadu domba kaum mabuk agama dan pejabat daerah yang pembangkang,0
"@arioktara02 Nindak pelanggar PPKM darurat pakai UU Karantina.  Tapi kewajibannya tak dibaca.. 
Dungu itu namanya",nindak pelanggar ppkm darurat pakai uu karantina tapi kewajibannya tidak dibaca dungu itu namanya,0
"PPKM mikro dimulai sejak hari ini, jaga kesehatan, ulah hilap emam",ppkm mikro dimulai sejak hari ini jaga kesehatan ulah hilap emam,2
"Akibat ppkm darurat, terpaksa harus divaksin juga....",akibat ppkm darurat terpaksa harus divaksin juga,0
@notagoodprsn @bdngfess a ini mah udh berlaku dari juni kan? apa pas ppkm juga segitu aja yg ditutupnya ga ada tambahan?,ini mah udah berlaku dari juni kan apa pas ppkm juga segitu saja yang ditutupnya tidak ada tambahan,1
"@OposisiCerdas Lah tujuan ppkm darurat bukan berhasil atau sia2 kok.. spt yg udh2, rakyat dilarang mudik ribuan TKA msk ke indonesia🤪🤪",lah tujuan ppkm darurat bukan berhasil atau sia kok seperti yang udah rakyat dilarang mudik ribuan tka masuk ke indonesia,0
"@humas_jogja Pak, mohon info, untuk usaha barbershop (cukur rambut pria) di DIY, selama PPKM Darurat Jawa dan Bali mulai 3 Juli 2021, apakah masih boleh buka sampai jam 20.00 dengan menerapkan protokol kesehatan dan membatasi 50% dari kapasitas?",pak mohon informasi untuk usaha barbershop cukur rambut pria di daerah istimewa yogyakarta selama ppkm darurat jawa dan bali mulai juli apakah masih boleh buka sampai jam dengan menerapkan protokol kesehatan dan membatasi dari kapasitas,1
Mau pergi? lantas melihat flyer ini jd tidak ingin pergi 😂 (Hari 1 PPKM dimulai) https://t.co/ZcRNOJUlA5,mau pergi lantas melihat flyer ini jadi tidak ingin pergi hari ppkm dimulai,0
"Ppkm hari 1.

Karena jadi wni saja sudah pusing, maka ngga perlu lari zona 5. https://t.co/MwFSQwczp1",ppkm hari karena jadi wni saja sudah pusing maka tidak perlu lari zona,0
"Mulai arogan sodara !?

Aturannya sih bener, realita &amp; pelaksanaannya.

PPKM Darurat. Kawal terus ~ https://t.co/z2BJ08lXBU",mulai arogan sodara aturannya sih benar realita amp pelaksanaannya ppkm darurat kawal terus,0
tangerang selatan masuk ppkm... pantesan semalem ke indomaret semuanya pake masker biasanya ada yg ga pake https://t.co/iVc5yv29wp,tangerang selatan masuk ppkm pantesan semalem ke indomaret semuanya pakai masker biasanya ada yang tidak pakai,1
"@Chon94_ Sebelum ppkm juga gak ada yang ajak jalan sih, agak terbiasa haha",sebelum ppkm juga enggak ada yang ajak jalan sih agak terbiasa tertawa,1
"PPKM di mulai hari ini tetap patuhi Prokes dan tetap jaga imun tubuh perbanyak olah raga 😁

- perbanyak minum air putih
- madu
- jangan begadang
- makan teratur
-  istirahat cukup
- jaga jarak
- jauhi kerumunan
- pacaran ( 🤣🤣🤣🤣 gw jomblo cukkk )",ppkm di mulai hari ini tetap patuhi prokes dan tetap jaga imun tubuh perbanyak olah raga perbanyak minum air putih madu jangan begadang makan teratur istirahat cukup jaga jarak jauhi kerumunan pacaran aku tidak punya pacar cuk,2
PPKM darurat hari pertama diisi dengan pengumuman kematian.,ppkm darurat hari pertama diisi dengan pengumuman kematian,0
Hah? Di las vegas dah bisa party lagi? Ga ada ppkm gitu? Ntaps https://t.co/XB0slL6MgT,hah di las vegas sudah bisa party lagi tidak ada ppkm begitu ntaps,1
"Happy weekend moots, inget ppkm mulai hari ini ya. Lebih baik dirumah dulu😌😌😌",bahagia weekend moots ingat ppkm mulai hari ini iya lebih baik dirumah dulu,2
