raw,processed,label
Hari ini udh mulai ppkm yaa..😣,hari udah mulai ya,1
@e100ss mohon info apakah PGS pasar turi selama ppkm buka seperti biasa atau tutup. Terima kasih,mohon informasi pgs pasar turi buka tutup terima kasih,1
"@bertanyarl Di rumah aja soalnya lagi ppkm

Entah bakal ngapain",rumah soalnya tidak tahu bakal sedang apa,1
"Pangkal penanganan pandemi #covid19 di Indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes, PSBB dan PPKM baik mikro maupun #PPKMDarurat , contoh kemarin di Sidoarjo adain vaksin tapi menimbulkan kerumuman hebat. Podo ae wkwk",pangkal penanganan pandemi indonesia terkesan semrawut kekurangtegasan penerapan prokes psbb baik mikro contoh kemarin sidoarjo mengadakan vaksin menimbulkan kerumuman hebat podo wkwk,0
ppkm mikro anjingggggggg,mikro anjing,0
"Di saat genting layaknya dalam situasi peperangan seperti sekarang ini, dimana banyak nyawa yang melayang.

Percuma pemerintah/aparat keamanan berlakukan PPKM Mikro kalau mereka tdk tegas menangkap para politikus2 pengadu domba, kaum mabuk agama dan pejabat daerah yg pembangkang!",genting layaknya situasi peperangan dimana nyawa melayang pemerintah aparat keamanan berlakukan mikro tegas menangkap politikus pengadu domba kaum mabuk agama pejabat daerah pembangkang,0
"@arioktara02 Nindak pelanggar PPKM darurat pakai UU Karantina.  Tapi kewajibannya tak dibaca.. 
Dungu itu namanya",nindak pelanggar darurat pakai uu karantina kewajibannya dibaca dungu namanya,0
"PPKM mikro dimulai sejak hari ini, jaga kesehatan, ulah hilap emam",mikro dimulai hari jaga kesehatan ulah hilap emam,2
"Akibat ppkm darurat, terpaksa harus divaksin juga....",akibat darurat terpaksa divaksin,0
@notagoodprsn @bdngfess a ini mah udh berlaku dari juni kan? apa pas ppkm juga segitu aja yg ditutupnya ga ada tambahan?,mah udah berlaku juni pas segitu ditutupnya tambahan,1
"@OposisiCerdas Lah tujuan ppkm darurat bukan berhasil atau sia2 kok.. spt yg udh2, rakyat dilarang mudik ribuan TKA msk ke indonesia🤪🤪",tujuan darurat berhasil sia udah rakyat dilarang mudik ribuan tka masuk indonesia,0
"@humas_jogja Pak, mohon info, untuk usaha barbershop (cukur rambut pria) di DIY, selama PPKM Darurat Jawa dan Bali mulai 3 Juli 2021, apakah masih boleh buka sampai jam 20.00 dengan menerapkan protokol kesehatan dan membatasi 50% dari kapasitas?",pak mohon informasi untuk usaha barbershop cukur rambut pria daerah istimewa yogyakarta darurat jawa bali mulai juli buka jam menerapkan protokol kesehatan membatasi kapasitas,1
Mau pergi? lantas melihat flyer ini jd tidak ingin pergi 😂 (Hari 1 PPKM dimulai) https://t.co/ZcRNOJUlA5,pergi lantas melihat flyer jadi pergi hari dimulai,0
"Ppkm hari 1.

Karena jadi wni saja sudah pusing, maka ngga perlu lari zona 5. https://t.co/MwFSQwczp1",hari jadi wni pusing perlu lari zona,0
"Mulai arogan sodara !?

Aturannya sih bener, realita &amp; pelaksanaannya.

PPKM Darurat. Kawal terus ~ https://t.co/z2BJ08lXBU",mulai arogan sodara aturannya sih benar realita amp pelaksanaannya darurat kawal terus,0
tangerang selatan masuk ppkm... pantesan semalem ke indomaret semuanya pake masker biasanya ada yg ga pake https://t.co/iVc5yv29wp,tangerang selatan masuk pantesan semalem indomaret pakai masker pakai,1
"@Chon94_ Sebelum ppkm juga gak ada yang ajak jalan sih, agak terbiasa haha",ajak jalan sih terbiasa tertawa,1
