,Unnamed: 0,raw,processed,label,predict
0,1758,Tempat refleksi buka ga sih lagi ppkm gini pegel bener nih badan,tempat refleksi buka tidak sih lagi ppkm begini pegel benar ini badan,1,1
1,2550,"Gmn min @DKIJakarta  warga sudah resah,ppkm di perpanjang tapi hiburan malam bebas,apa mekang benar ada oknum yg backup ? https://t.co/DWGseJpzab",gimana min warga sudah resah ppkm di perpanjang tapi hiburan malam bebas apa mekang benar ada oknum yang backup,0,0
2,1365,"Ada diskon listrik juga dari Pemerintah selama PPKM darurat buat 32,6 juta pelanggan 450 VA dan 900 VA bersubsidi.

Nah, tugas kita sebagai masyarakat adalah :

Yuk, bantu kawal!

Supaya semua amanah😊",ada diskon listrik juga dari pemerintah selama ppkm darurat buat juta pelanggan va dan va bersubsidi nah tugas kita sebagai masyarakat adalah yuk bantu kawal supaya semua amanah,2,2
3,3362,ppkm kapan berakhirnya sih? w mo vaksin kedua aja susah bgt gegara vaksinnya di luar kota,ppkm kapan berakhirnya sih mau vaksin kedua saja susah banget gara-gara vaksinnya di luar kota,0,0
4,1894,"Pengen bisa keliling Jogja lagi ya Allah...plis pak Presiden... Kasian jg itu orang dagang, orang yg cari uang harian. Ayok udahan dong PPKM nya😭🙏",mau bisa keliling jogja lagi iya allah plis pak presiden kasihan juga itu orang dagang orang yang cari uang harian ayo udahan dong ppkm nya,0,0
5,873,"Jamet orang yg gk ngerti agama biasanya ketika ada cobaan pasti ngeluh depresi stress caci maki sbb kurangnya dlm diri sifat Tawakal berserah diri kurangnya Tawhid makanya khawatir
""mau makan apa? kalau ppkm""
padahal dia lupa yg ngatur rezki itu sang Pencipta ""selama mau berusha""",jamet orang yang gak mengerti agama biasanya ketika ada cobaan pasti ngeluh depresi stre caci maki sebagai berikut kurangnya dalam diri sifat tawakal berserah diri kurangnya tawhid makanya khawatir mau makan apa kalau ppkm padahal dia lupa yang mengatur rezeki itu sang pencipta selama mau berusha,2,0
6,1306,ini udah gak ppkm kan?,ini sudah enggak ppkm kan,1,1
7,2437,Ppkm bikinnnn resahhh biasanya dosen gue gamau nih bimbingan online karna ribet :((,ppkm buat resah biasanya dosen aku gak mau ini bimbingan onlen karena ribet,0,0
8,2140,"PPKM tidak jadi penghalang buat belanja Idul adha.
Semoga semua sehat cepat kembali.

Selamat pagi dan mari kita tetap di rumah,
 
@jisatu01
@tjhinfar21
@VanceLawrence21
@Nirmala2205
@nissa_sabyan_
@MatajiMaica
@AdaieRecan
@Swasmarloka
@Abha_Abhinanda
@NiskalaSabitah https://t.co/nAP9ZHAvu2",ppkm tidak jadi penghalang buat belanja idul adha semoga semua sehat cepat kembali selamat pagi dan mari kita tetap di rumah,2,2
9,520,Kondisi Darurat Ayo PPKM,kondisi darurat ayo ppkm,2,2
10,1914,ppkm diperpanjang terus udah kaya masa aktif kartu perdana,ppkm diperpanjang terus sudah kayak masa aktif kartu perdana,1,0
11,2415,@mantennyajin padahal ga ppkm tapi ga tau juga sih,padahal tidak ppkm tapi tidak tahu juga sih,1,0
12,2309,"PPKM, justru jadi ladang politisasi yang menggiurkan bagi oposisi

Konspirasi ttng kelaparan rakyat sngt nyaring dikalangan bawah

Sepertinya negri kita ini adalah negri yang saling tidak perduli sama tetangga sampai sampai harus tega membiarkan dlm kelaparan https://t.co/KF77wgvJ35",ppkm justru jadi ladang politisasi yang menggiurkan bagi oposisi konspirasi tentang kelaparan rakyat sangat nyaring dikalangan bawah sepertinya negeri kita ini adalah negeri yang saling tidak perduli sama tetangga sampai sampai harus tega membiarkan dalam kelaparan,0,0
13,1513,Tapi skrng masih PPKM,tapi sekarang masih ppkm,1,1
14,294,@berlianidris Apakabar PPKM jadinya dok?covid melunjak Ekonomi meroket kebawah😢?,apakabar ppkm jadinya dok covid melunjak ekonomi meroket kebawah,0,2
