,raw,processed,label,predict
0,"DIMATA KU..
Kalau ada perencanaan BUSUK kemudian ORANG ASING PADA KABUR otomatis ini menanyakan ada masalah besar .,
*PPKM di buat menyeramkan ,sadis adalah tanda ada yang BERMAIN....
*WACANA PPKM +6 PEKAN HANYA MEMBUAT HAMBATAN 
*Wacana DARURAT MILITER...makin kelihatan 💪",dimata ku perencanaan busuk orang asing kabur otomatis menanyakan masalah besar ppkm menyeramkan sadis tanda bermain wacana ppkm pekan membuat hambatan wacana darurat militer kelihatan,0,0
1,"@detikcom Waduhhhh jgn"" yang nyebarin virus selama ppkm mereka lagi",nyebarin virus ppkm,0,0
2,"ppkm ga kelar-kelar, malah hubunganku yg kelar",ppkm kelar kelar hubunganku kelar,0,1
3,Minggu tidur aja diluar masih PPKM https://t.co/H13PJOmHhH,minggu tidur diluar ppkm,1,1
4,PPKM darurat apanya slipi rame jam segini 😑,ppkm darurat apanya slipi ramai jam segini,0,1
5,Saat ppkm begini kerja jadi enak banget cuman dateng absen nyari lapak terus tidur dah sampe pulang.,ppkm kerja jadi enak banget datang absen mencari lapak terus tidur pulang,2,0
6,"Kalo PPKM menurut lo apa der?

Sumber: Jakartakeras https://t.co/gZa9PpTB9P",ppkm menurut der sumber jakartakeras,1,1
7,PPKM (pelan pelan pernah menghilang),ppkm pelan pelan menghilang,1,1
8,"Semalem jam 10 kurang gw ke apotik beli obat dan liat daerah rumah gw ga ada ppkm. Itu angkringan apa yg jual mknn di sepanjang pinggir jln, banyak. Yg beli &amp; mkn jg di tmpt jg ada. Apaan yg ppkm. Mau covid cepat kelar ga sih 😭😭😭😭😭 https://t.co/5xUildp8m6",semalem jam kurang apotik beli obat lihat daerah rumah ppkm angkringan jual mknn pinggir jalan beli amp tempat ppkm covid cepat kelar sih,0,0
9,Habis PPKM apalagi ya. Gonta ganti judul ga selesai2.,habis ppkm iya gonta ganti judul selesai,0,1
10,"Euforia terhadap pelonggaran di sejumlah sektor mulai terlihat, meski kebijakan PPKM level 4 untuk membatasi mobilitas orang demi mencegah penularan COVID-19. 
Kondisi ini harus diwaspadai, jangan sampai ledakan kasus terulang lagi,

#RedamPandemiJagaNKRI
https://t.co/1H09G76M1A",euforia pelonggaran sejumlah sektor mulai terlihat kebijakan ppkm level untuk membatasi mobilitas orang mencegah penularan covid kondisi diwaspadai ledakan kasus terulang,2,2
11,Kenapa ppkm gak pas aku lagi hectic2nya nyusun presentasi metpen si,ppkm pas hectic nya nyusun presentasi metpen sih,0,1
12,"Pemerintah dalam Subsidi upah sebesar Rp. 500.000 per bulan diberikan selama 2 bulan, kita bisa dapatkan dalam satu kali pencarian, sehingga akan ada Rp. 1juta ditangan.

Kalau kamu tinggal di wilayah PPKM level 3-4 kamu akan mendapatkan subsidi upah sebesar Rp. 1.000.000 https://t.co/16B1vMu4wF",pemerintah subsidi upah sebesar rp bulan diberikan bulan dapatkan satu kali pencarian rp juta ditangan tinggal wilayah ppkm level mendapatkan subsidi upah sebesar rp,0,0
13,"Covid-19 varian delta akan menyebar seperti kobaran api pada daerah yg tingkat vaksinnya rendah. 

Ayo yg belum divaksin segera daftar. Please patuh jg pada PPKM. https://t.co/zFKXx9VQAt",covid varian delta menyebar kobaran api daerah tingkat vaksinnya rendah ayo divaksin daftar tolong patuh ppkm,2,2
14,@coraliabali Saya belum pernah ke pantai.  itu ditutup dalam PPKM,pantai ditutup ppkm,0,0
