ID,Tweet,Class
1,"Ppkm buat kami yg ga dipulau jawapun rada deg degan kerja, takut perusahaannya gulung tikar juga🙃",1
2,"Ditengah orang2 yang pada mikir ;
- ""waduh PPKM nih mulai besok""
- ""mr.J ga nepatin janjinya nih""
- ""gimana ni jadwal vaksin ga keluar2 padahal udah daftar""
- ""coba kalo dari dulu indonesia lokdon""

Lalu ada gua yang mikir ""yess,messi bebas transfer,mudah2an join ke roma""",1
3,PPKM KENAPA BERLAKU SAMPAI 20 JULI..!? TANGGAL 20 JULI ADALAH HARI RAYA IDUL ADHA. APA MEMANG DISENGAJA AGAR SUPAYA UMAT ISLAM TIDAK BISA MELAKSANAKAN SHOLAT IDUL ADHA DAN PEMOTONGAN HEWAN KURBAN..!?. SIAPA DAN PIHAK MANA SEBENARNYA YANG MERENCANAKAN PPKM 3--20 INI..!?,1
4,PPKM kenapa sumatera ngga ya? Dan lain2 juga. Biar kompak aja gitu..,2
5,"sch! ppkm darurat kan cuman jawa-bali ya berarti mereka gak PTM, kok daerah ku yg gak berlakuin ppkm darurat di tambah di luar jawa Bali kok tetep daring c ☺️",2
6,ya tuhan ini kampus ga mau apa kkn online? offline lagi ppkm gini :(,1
7,"Isi beritanya sih bener ya dan kayaknya ga cuman ke Yogya, tp kemanapun syaratnya skrg pcr + kartu vaksin. Yg bikin jengkel timingnya rilis mbok yo bar PPKM 😶 https://t.co/sIKnYOr0SL",1
8,PPKM makro mikro adu mekanik bos ?,2
9,@jokowi Jika ada tempat kerja yg tidak mau menuruti PPKM bagaimana? Apakah bisa dilaporkan?,2
10,PPKM (Punya Perasaan Kangen Mendadak) Darurat.,2
11,"Minta rekomen dong Jes buntu ni hrs kmn😭 Bekasi udh mulai ppkm Jes punya my children yg hrs ddidik😭cek DM or wa ya 085894548435 @jesicca_vaan @jesicca01van 
#openbobekasi
#openbojakarta
#bobekasitimur #bekasibo #bekasicrot
#availbekasi
#bisyarbekasi #TRUSTEDBISYAR #RealAngels https://t.co/6ZNnCuirbw",2
12,"jd kemaren nenek gua yg dari palembang sempet nginep, cuma mendadak mesti balik gegara mau ada ppkm darurat. terus as usual, ngasi duit. tapi kata kata mutiara nyokap keluar: ""bil uangnya biar mama yang megang ya"" 🙃🙃🙃🙃🙃🙃",1
13,"Mo ppkm, pkpu, ppk, apalah tetep sama aja cungpret ngantor tiapari. Mereka yg dirumah 😌",2
14,"@detikcom Gimana nih tindakan pemerintah,klo anak presiden mematuhi peraturan ppkm darurat,yg harus menutup semua mall",1
15,"PPKM darurat itu paling beberapa hari. Selebihnya halusinasi. 

#mbohluweh #teleque",2
16,"@NOTASLIMBOY Masih dong… kan proyek strategis nasional. Di PPKM mikro, proyek strategis masuk dlm kategori kegiatan kritikal, yg WAJIB BERJALAN dlm pandemi. Keren kan?",2
17,"@constrctivsme Bukan korona, tapi ppkm kale ah",1
